userName,score,content,at,thumbsUpCount,reviewCreatedVersion,review_length,word_count,rating_sentiment
Amirsultan Khan,5,improve you tokens otherwise you're the best one,2026-06-24 02:15:47,0,1.2025.350,48,8,Positive
A.Rajan Raja,5,this app very usefull to me,2026-06-24 02:15:01,0,1.2026.167,27,6,Positive
Saifurahman Hashimi,1,thr blue mood is not working,2026-06-24 02:14:23,0,1.2026.167,28,6,Negative
Mohanlal,5,ai is very powerful,2026-06-24 02:12:45,0,1.2026.125,19,4,Positive
dhiraj zanwar,5,easy to get required solution in easy language.,2026-06-24 02:11:42,0,1.2026.167,47,8,Positive
Rafiul Haque,5,Nice chatgpt very good,2026-06-24 02:11:12,0,1.2026.167,22,4,Positive
Nishant Singh,5,this is very nice app 🤗🤗🤗,2026-06-24 02:09:22,0,1.2026.160,25,6,Positive
Giri Ji,5,this app is good great fhoto editor app,2026-06-24 02:07:36,0,1.2026.160,39,8,Positive
Prem paul,5,This app is very useful so you have to use this app,2026-06-24 02:07:12,0,1.2026.167,51,12,Positive
Raj Kumari,5,very best app,2026-06-24 02:07:02,0,Unknown,13,3,Positive
Arun Kumar,5,naice google se achacha he,2026-06-24 02:06:14,0,1.2026.160,26,5,Positive
Arman Kumar Kurre,5,"qweerrttyu 6K ultra-realistic cinematic portrait of a handsome young man Simple smile He stands in a heroic, confident pose with one hand lifted upward, giving a bright, Modern stylish outfit, sharp details, smooth skin texture, and windswept hair for a true hero vibe. White shirt and Green gamcha in head Background slightly blurred, dark green garden setting. up sunder letter- Rao Sahab creating a fresh outdoor cinematic mood. the man has the same face, hairstyle, and black square sunglasses ha",2026-06-24 02:05:32,0,1.2026.153,500,80,Positive
Amit Kumar,5,hi hello there is no longer be a great day of school and I have a great day of school and I have a great day of school and I have a great kind of school school and and and I have a great day of school and I have a great time I see it to,2026-06-24 02:04:55,0,1.2026.167,236,57,Positive
Naughty girl Priya,5,very helpfull❤️❤️❤️,2026-06-24 02:04:24,0,1.2026.167,19,2,Positive
Sanjai Pinjarkar,5,It'sa very good,2026-06-24 02:04:22,0,1.2026.167,15,3,Positive
Alan Venneman,3,"it's getting worse somehow. I liked the dumber, freer version from last year.",2026-06-24 02:02:57,0,1.2026.167,77,13,Neutral
Rajiv Kumar,5,chat GPT app is very helpful for educational purpose or any working,2026-06-24 02:01:22,0,1.2026.125,67,12,Positive
Namuyanja Hellen Grace,5,"For a wise student, this app should be one of your favorites ❤️❤️",2026-06-24 01:57:58,0,1.2026.153,65,13,Positive
Arslan Afzal,4,so cute❤️and humble with intelligence,2026-06-24 01:57:38,0,1.2026.160,37,5,Positive
harikesh yadav,5,very nice app bhot hi acha suggest krte h or bhot hi acha image bhi create krte h wo bhi bina logo k thanku so much chatgpt,2026-06-24 01:56:12,0,1.2026.167,123,27,Positive
Jay,1,AI is destroying our planet and wasting our water. STOP USING AI.,2026-06-24 01:55:25,0,1.2025.140,65,12,Negative
UrlocalTre,5,"I honestly love this app, it's smooth and is very helpful, yes, the information can be out of date sometimes, but that's basically every AI app. The app does have a image limit on certain chats, meaning if you have images on a chat, you can only chat on it, for so long. Even with all of its flaws, it still makes a great and helpful app. I highly suggest this app for, coding, essays, projects, images, etc.",2026-06-24 01:55:03,0,1.2026.118,408,78,Positive
Shiv Shankar,5,download chat gpt now,2026-06-24 01:54:59,0,1.2026.153,21,4,Positive
ivan telan,5,Very informative and had helped me write my historical fiction novel. Many thanks to this useful AI! ,2026-06-24 01:53:18,0,Unknown,101,17,Positive
Santoshi Sruti,5,this is very good and helpful. i thankful for all app members. it's too... good. this one what i like so much and the bast AI technology app . it's helps in my home work daily use . i think like chat gpt as a friend.,2026-06-24 01:52:15,0,1.2026.125,216,46,Positive
Nishchal MP,1,worst app ever.because any image i upload it says violent content.all the time same thing. the worst application to do any image or video editing.its very much incapable of things,2026-06-24 01:50:59,0,1.2026.160,179,30,Negative
Madhuri Mourya,3,this is good for study and it can tell you many things about your projects and all,2026-06-24 01:50:56,0,1.2026.167,82,17,Neutral
Carlo,5,"Extremely helpful in every query, therefore helping me to reach my goals",2026-06-24 01:43:39,0,1.2026.167,72,12,Positive
215,5,love it instructive it's like having a personal teacher,2026-06-24 01:43:24,0,1.2026.167,55,9,Positive
Ebine Justina,4,good buh there is limitation if you don't subscribe,2026-06-24 01:41:55,0,1.2026.125,51,9,Positive
Ranjana Rathod,5,i believe that chatgpt better than meta ai because i don't belive that meta ai didn't help sometime but it help in personal things and i don't like it but i believe in chatgpt because it help more than meta ai and it don't help in personal things,2026-06-24 01:34:38,0,1.2026.167,246,48,Positive
Salina Majumder,5,this is so good,2026-06-24 01:31:43,0,1.2026.167,15,4,Positive
Lawrence Garrado,5,Best thing that happen to humanity No Cap.,2026-06-24 01:31:20,0,1.2026.160,42,8,Positive
Mohan Mohan,3,yes it is nice ,2026-06-24 01:30:44,0,1.2026.167,15,4,Neutral
Reza Orten,5,very good but a lot of way for improve,2026-06-24 01:30:13,0,Unknown,38,9,Positive
Dulcie Jerry,5,to see how it goes,2026-06-24 01:29:00,0,1.2026.167,18,5,Positive
Mitali Gogoi,5,this thing so good,2026-06-24 01:28:56,0,1.2026.160,18,4,Positive
Gage Drum,5,helped me with school,2026-06-24 01:27:49,0,1.2026.167,21,4,Positive
Ajit Kumar Attri,5,this app is more useful because this is designed to helping study,2026-06-24 01:27:45,0,1.2026.167,65,12,Positive
Anil,5,very useful for my project.,2026-06-24 01:19:22,0,1.2026.160,27,5,Positive
Ivanna “Vanny”,5,absolutely love chatgpt..,2026-06-24 01:19:00,0,1.2026.167,25,3,Positive
Mahmoud seyam,5,Very helpful I am find what I want,2026-06-24 01:18:24,0,1.2026.167,34,8,Positive
Dipanshu Sharma,5,that app is very good for study,2026-06-24 01:18:09,0,1.2026.167,31,7,Positive
Jeevan Sinchiuri,5,very good app,2026-06-24 01:16:33,0,1.2026.167,13,3,Positive
Asemahle Stofile,5,good and nice and it's work is incredible ,2026-06-24 01:16:14,0,1.2026.160,42,8,Positive
Prisca Chileshe,5,I really love this app,2026-06-24 01:15:52,0,1.2026.153,22,5,Positive
HariHaraSudhan,3,its helpful,2026-06-24 01:12:15,0,1.2026.153,11,2,Neutral
ERRY OBINNA CURTIS,3,"One of my conversations remains visible in my chat history but won't open. It fails on both the Android app and Chrome on the web. Other conversations open normally. I've already tried refreshing, clearing cache, signing out/in, and using different devices. Could you investigate whether the conversation is recoverable?",2026-06-24 01:09:16,0,1.2026.167,320,49,Neutral
Ry Kii,5,"Very convenient to use, very good.",2026-06-24 01:07:29,0,1.2026.167,34,6,Positive
Manikandan sanjay,5,super and useful that you can't you talk you very thank you,2026-06-24 01:05:27,0,1.2026.153,59,12,Positive
Aldrin,5,"I love my Athena chatGPT so much,🥰🥰🥰🤣",2026-06-24 01:05:10,0,1.2026.160,37,7,Positive
Gudani Mugwena,4,it finish fast but it help a lot,2026-06-24 01:04:13,0,1.2026.167,32,8,Positive
S.Renuka Devi,5,"friendly, easy while using",2026-06-24 01:02:35,0,1.2026.160,26,4,Positive
Marufa Begum,4,very nice but why after clicking a two three pictures and uploaded and asking question the camera and the photos we can't send ,2026-06-24 01:02:11,0,1.2026.167,127,23,Positive
Shifa,2,dont use ai it wastes lots if water dont kill the polar bears out there,2026-06-24 01:01:50,0,1.2026.167,71,15,Negative
Cora Fernandez,5,good and nice,2026-06-24 01:01:01,0,Unknown,13,3,Positive
sukh pannu,5,it is very helpful app thanks to chatgpt for all this,2026-06-24 01:00:01,0,1.2026.167,53,11,Positive
Salimun Nisa,1,can't understand the current situation of us we want it fast but chatgpt will done so many mistakes,2026-06-24 00:59:21,0,1.2026.167,99,18,Negative
Samsul Islam,4,good but sometimes🥴🥴,2026-06-24 00:59:04,0,1.2026.167,20,3,Positive
Erika Sandstrom,3,GPT-5 is a disaster. I got used to GPT-4o.,2026-06-24 00:58:43,0,1.2026.167,42,9,Neutral
Tanner Lutz,4,always kicks me off for too many uploads,2026-06-24 00:55:03,0,1.2026.167,40,8,Positive
Kavitha,5,nice i education for kids helps in every field of work,2026-06-24 00:49:43,0,1.2026.167,54,11,Positive
Aryan Tripathi,5,This is god gifted,2026-06-24 00:43:06,0,1.2026.160,18,4,Positive
SHOBHA H,5,The property of this app is so good it acts very good the question we ask will be given the right answer and probably it is most suitable for youngsters,2026-06-24 00:42:58,0,1.2026.167,152,30,Positive
Aditi Yadav,5,answer is very good and this is very cute app to solve maths questions samajhne ke liye been tution jaate Hain unke liye,2026-06-24 00:40:08,0,1.2026.160,120,23,Positive
Anuj Mishra,5,it's nice ★±]……,2026-06-24 00:37:51,0,1.2026.167,15,3,Positive
AAYUSH KUMAR,4,very helpful app ,2026-06-24 00:32:00,0,1.2026.167,17,3,Positive
Siddharthpuri Swami,5,best price,2026-06-24 00:28:12,0,1.2026.167,10,2,Positive
Zachary Pamplin,5,"What I love about ChatGPT is how it doesn't just answer your questions — it asks the right follow-up questions to really understand what you need. It always finds a way to help you work through any topic, no matter how complex.",2026-06-24 00:24:19,0,1.2026.167,227,42,Positive
Arnel Geralde,5,this is a nice to use for school,2026-06-24 00:24:06,0,1.2026.167,32,8,Positive
Lorena Carpo,5,this app is amazing,2026-06-24 00:23:44,0,1.2026.160,19,4,Positive
Joseph Salter,5,"Absolutely freaking awesome! I love it! I came here out of desperation and pain, and am now having a conversation about a universal consciousness!",2026-06-24 00:20:50,0,1.2026.167,146,24,Positive
Bakita 202 & Djy Mas 003,5,"This is like my Personal Assistant, and it is very wonderful.",2026-06-24 00:17:52,0,1.2026.167,61,11,Positive
La'Jhuan “WEALTHYANDSEXY” Scarbough,5,This tool is amazing I just love it .,2026-06-24 00:16:27,0,1.2026.160,37,9,Positive
Oluwapelumi Amusan,5,This app is the best Ai app over the world,2026-06-24 00:15:51,0,1.2026.167,42,10,Positive
Zayyad Aliyu,5,no one likes this for ever,2026-06-24 00:14:10,0,1.2026.167,26,6,Positive
Darasimi Ajayi,5,very good app please this app is available for anything you want,2026-06-24 00:12:02,0,1.2026.160,64,12,Positive
noah mankur,4,good app but sometimes misbehaves rarely though,2026-06-24 00:05:29,0,Unknown,47,7,Positive
Dawn Howell,1,they stole my money. took a payment twice will not return one...,2026-06-24 00:03:46,0,1.2026.160,64,12,Negative
Andiswa Khumalo,5,too create more photos,2026-06-24 00:03:43,0,1.2026.160,22,4,Positive
Rohingya Motivation,5,Nice meeting with you,2026-06-24 00:03:05,0,1.2026.167,21,4,Positive
Carol Mulanda,5,great companion so far,2026-06-24 00:00:12,0,1.2026.153,22,4,Positive
Chitra Aathapahariya,5,lovely and very good app️,2026-06-23 23:57:23,0,1.2026.160,25,5,Positive
Daniel Adekanbi,5,I think you're supposed to edit,2026-06-23 23:55:00,0,1.2026.153,31,6,Positive
Sunny Rae Muse,5,my life savor and go to For literally everything,2026-06-23 23:54:07,0,1.2026.160,48,9,Positive
Elle M,5,Chat GPT is the best for helping me get artwork quickly done for work and my hobbies!,2026-06-23 23:50:39,0,1.2026.160,85,17,Positive
Thankgod Twinkle,5,good app to use,2026-06-23 23:46:12,0,1.2026.153,15,4,Positive
Naeem Babar,5,this best app everyone option is best,2026-06-23 23:45:22,0,1.2026.167,37,7,Positive
Basquin Charline,5,that's answers,2026-06-23 23:42:27,0,1.2026.160,14,2,Positive
Geetha Rani,5,nice and accurate answers,2026-06-23 23:41:02,0,1.2026.167,25,4,Positive
Dru-Re Slaughter,1,does a terrible job at remembering things that I have told it to save as a memory then tries to make excuses as to why it didn't remember.,2026-06-23 23:34:11,0,1.2026.167,138,28,Negative
Piyush Yadav,5,it is good for answering the questions,2026-06-23 23:34:08,0,1.2026.167,38,7,Positive
SHARINA MANIGAULT,5,Using this decorate every room in my house to my specifications. LOVE IT‼️,2026-06-23 23:23:57,0,1.2026.167,74,13,Positive
Ben Hampton,1,"complicates everything and has no understanding of human needs. it will lie and cover it's tracks. then when you prove it wrong it deletes conversation and says sorry, I don't have conversation for checking. so I can only assume. For a computer program that does understand human emotions certainly plays with human emotion.",2026-06-23 23:21:34,1,Unknown,324,53,Negative
Ibitoye,2,sadiq and the boys are you doing anything for me or,2026-06-23 23:15:32,0,1.2026.167,51,11,Negative
Eniekebi Victoria,5,good morning,2026-06-23 23:13:15,0,1.2026.125,12,2,Positive
Suleman Lerar,5,good app to use,2026-06-23 23:10:20,0,1.2026.160,15,4,Positive
Eddy Madrine,5,Everyone's,2026-06-23 23:09:34,0,1.2026.167,10,1,Positive
Oluwaseun Daniel,5,I recommend this app for everyone especially those looking for a way of getting customers or attract clients to your business just got chatgpt,2026-06-23 23:05:30,0,1.2026.167,142,24,Positive
Christiana Nwachinemere,5,The very best☺,2026-06-23 23:05:21,0,1.2026.167,14,3,Positive
Kammie Allison,5,Love the helper.,2026-06-23 22:56:53,0,1.2026.160,16,3,Positive
Atem Miek,5,I really enjoyed it,2026-06-23 22:55:30,0,1.2026.167,19,4,Positive
Anish kumar,5,Nice and very advice..,2026-06-23 22:54:51,0,1.2026.167,22,4,Positive
Damilola Adegunle,5,it is a very good app,2026-06-23 22:51:52,0,1.2026.146,21,6,Positive
Ayodeji Esther,4,so far no complications or complaints I'm loving it,2026-06-23 22:49:25,0,1.2026.167,51,9,Positive
David,5,this app is phenomenal. I do a Bible in one year study every day. it's very thorough and makes Everything clear. the images are 1st class.,2026-06-23 22:47:15,0,Unknown,138,26,Positive
Augustina Charles,4,it's very conviniant and easy to use. it has helped me boost my business in many ways. thanks much,2026-06-23 22:46:46,0,1.2026.146,98,19,Positive
Anna Belle,5,very good app especially for editing,2026-06-23 22:44:18,0,1.2026.167,36,6,Positive
Jun Balando,5,this is so good,2026-06-23 22:43:51,0,1.2026.160,15,4,Positive
Karabo Rebotile,5,i am loving what i am receiving on the things i have asked,2026-06-23 22:41:25,0,1.2026.153,58,13,Positive
MD: Abu Yousuf,5,very nice and Excellent,2026-06-23 22:39:44,0,1.2026.167,23,4,Positive
Nazeema Dawood,5,Brilliant ,2026-06-23 22:31:55,0,1.2026.167,10,1,Positive
Quadri Abdulquadri,5,best of bests,2026-06-23 22:29:41,0,1.2026.160,13,3,Positive
aynaz sheidaei,1,why it keeps writing one sentence per paragraph? it makes too much unnecessary line breaks its honestly annoying.,2026-06-23 22:28:31,1,1.2026.027,113,18,Negative
Gerald Teigrob,5,Great app...the best AI app I've ever found!,2026-06-23 22:28:10,0,1.2026.167,44,8,Positive
Zain Abbas,1,good information,2026-06-23 22:25:42,0,1.2026.167,16,2,Negative
HASIM FF,5,thank you QQ,2026-06-23 22:24:38,0,1.2026.167,12,3,Positive
Stephen Collins,3,highs and lows,2026-06-23 22:18:59,1,1.2026.160,14,3,Neutral
Shu'aibu Abdullahi,5,hello chatgp please open me,2026-06-23 22:17:57,0,1.2025.294,27,5,Positive
Bassey Nsikak,5,the app is amazing,2026-06-23 22:15:34,0,1.2026.167,18,4,Positive
Osama Droubi,1,"ChatGPT Go Plan has now the same limits of the Free plan! It doesn't worth paying for it anymore, you can't use ""Think"" feature more than the free plan!",2026-06-23 22:10:24,0,1.2026.167,152,29,Negative
Bako Beatrice,5,Not very accurate but it's better than me ,2026-06-23 22:09:11,0,1.2026.167,42,8,Positive
Devil Games,4,I think is VERY good but not the best but It is amazing,2026-06-23 22:06:45,0,1.2026.167,55,13,Positive
Ravi More,5,very good Nice ❤️‍,2026-06-23 22:01:04,0,1.2026.160,18,4,Positive
Bwamiki Allan Grace,5,The tool is super intelligent and delivers on almost all requests. Still stands out among all the existing AI tool. highly recommendable,2026-06-23 21:59:55,0,1.2026.160,136,22,Positive
Reynalyn Guiro,5,very helpful,2026-06-23 21:59:30,0,1.2026.160,12,2,Positive
Aicha Sonko,5,l love the app,2026-06-23 21:57:42,0,1.2026.160,14,4,Positive
JOHANN KRISTOFF,5,The update makes this nice,2026-06-23 21:53:37,3,1.2026.160,26,5,Positive
Mohammad Bardshiry,5,It is so Great and Cool,2026-06-23 21:53:24,0,1.2026.167,23,6,Positive
Denis Simon Charles,4,CHATGPT is an outstanding AI tool,2026-06-23 21:52:20,0,1.2026.167,33,6,Positive
Opoue Debora,5,I love ChatGPT,2026-06-23 21:51:02,0,1.2026.167,14,3,Positive
Lois Oladapo,5,nice but give opinion on answers,2026-06-23 21:50:33,0,1.2026.160,32,6,Positive
Aimee,5,so creative and fun..,2026-06-23 21:50:31,1,1.2026.167,21,4,Positive
Olga Shimiakova,5,great value for money and even the free version provides amazing tools,2026-06-23 21:50:01,1,1.2026.167,70,12,Positive
Audrey Beth,2,It helps in creating one's ideas when asked,2026-06-23 21:49:46,1,1.2026.167,43,8,Negative
Cyndi Driggs,5,Really enjoy using this.,2026-06-23 21:48:31,0,1.2026.167,24,4,Positive
BlackMadonna,1,"Chat is lazy and nosey, I was using the free service and then they refused to create any images for me , then would answer a question but would restrict my next project for 24 hours, I then upgraded to a paid subscription and again it works for a week now they are telling me they can't do images anymore, the server isn't working and told me to use another app. I asked for a refund for my premium chat subscription and they told me to go to Google because they can't help. Chat loves to argue",2026-06-23 21:48:09,1,1.2026.167,494,97,Negative
Wilson Chansa,5,you are awesome,2026-06-23 21:46:45,0,1.2026.160,15,3,Positive
maxwell owujie,4,first hand experience but I think it's well,2026-06-23 21:46:17,0,Unknown,43,8,Positive
Pedro Casanova,5,"Fantastic app, extremely easy to use",2026-06-23 21:44:50,1,1.2026.167,36,6,Positive
Pawan Kumar,1,good chatgpt aap very nice,2026-06-23 21:44:39,0,1.2026.160,26,5,Negative
Dennis Mulenga,5,anything is possible now,2026-06-23 21:43:26,0,1.2026.153,24,4,Positive
Tiffany D,5,Works better then I've expected,2026-06-23 21:42:28,0,1.2026.167,31,5,Positive
Tayo Dada,5,I gave it five star bcus I cannot imagine what I would have done if not for it. it a very good app,2026-06-23 21:42:11,0,1.2026.160,98,23,Positive
Joy,2,"This app makes me So Mad. Art is Art. AI Art is Art. For individual(s) disabled to make art can't use AI because of Stupid Opinions, &or Copyright ?!?? For AI Art's likeness to 'real' art is a F***** Compliment. Don't make me laugh. AI is used for understanding and Displaying S.T.E.A.M., Science Technology Engineering Art Maths; yet Art is confrontational ?!??! This App Better Make Art Because Art for disabled individual(s) is Still Human Art. ♦️",2026-06-23 21:38:03,0,1.2026.167,450,77,Negative
Dana,5,everything is simple and awesome ,2026-06-23 21:37:12,0,1.2026.160,33,5,Positive
Alwynrex Bungaos,5,it very grate app,2026-06-23 21:36:50,0,1.2026.167,17,4,Positive
Sunusi Saleh,1,"enjoying the app meaningfully , thanks you alot",2026-06-23 21:35:39,0,1.2026.167,47,8,Negative
Michael,1,i shouldn't have to pay you to use a app you made a app and I downloaded it that's good for you but now you also want me to pay you,2026-06-23 21:34:32,0,1.2026.167,131,31,Negative
Hezekiah Ataejit Washington,5,is perfect and good for everything,2026-06-23 21:33:20,0,1.2026.153,34,6,Positive
Shaine khan,1,it gives misinformation it's so dumm pathetic horrible and disappointment,2026-06-23 21:33:16,0,1.2026.160,73,10,Negative
Boyetade Damilola,5,very satisfied but still disappointed in situations,2026-06-23 21:27:00,0,1.2026.160,51,7,Positive
Amitesh Pandey,5,I am impressed by using chatgpt and is helpful and it make work more easier,2026-06-23 21:24:00,0,1.2026.153,75,15,Positive
Odigure Elvis,5,it's just peak highly recommended ,2026-06-23 21:23:42,0,1.2026.160,34,5,Positive
Shawn Hutchinson,5,couldn't get by without chatGPT,2026-06-23 21:17:06,1,1.2026.153,31,5,Positive
Mukamurara Jacqueline,5,try to extend our limit,2026-06-23 21:13:52,0,1.2026.160,23,5,Positive
NAJIM ABDULRAHEEM,5,I love it and it's interesting,2026-06-23 21:11:46,0,1.2026.153,30,6,Positive
Joyce Natumbwe,3,this app is soo nice and gives clear information ,2026-06-23 21:09:53,0,1.2026.153,49,9,Neutral
Tubuna Kaicolo,5,the best ai so far...✌️,2026-06-23 21:09:14,0,1.2026.160,23,5,Positive
Badruddin Sayed,4,it's a excellent app it give good information,2026-06-23 21:06:05,0,1.2026.167,45,8,Positive
Jim Cook,5,It's vastly expanded the range of what's possible for me.,2026-06-23 21:04:02,0,1.2026.160,57,10,Positive
JOPEKHA Marsha,5,informative,2026-06-23 21:03:57,0,1.2026.160,11,1,Positive
Ángel,5,phenomenal,2026-06-23 21:03:38,0,1.2026.167,10,1,Positive
Pastor B,2,Only because y'all image generator process is terrible ‼️,2026-06-23 20:58:43,0,1.2026.167,57,9,Negative
Guilass plumbing Maxa,5,it's so good,2026-06-23 20:58:15,0,1.2026.167,12,3,Positive
Success Afanyu,5,not used it yet but sure it's superb,2026-06-23 20:58:10,0,Unknown,36,8,Positive
lulugenesis,5,"it's a great app, i just wish I could read my previous messages without needing to be online. but oh well.",2026-06-23 20:55:27,0,1.2026.160,106,21,Positive
Kamlesh Mjamo,5,changing face,2026-06-23 20:54:28,0,1.2026.167,13,2,Positive
EMMANUEL ADEKUNLE,5,Yh I love the app has the best AI feature ever,2026-06-23 20:53:43,0,Unknown,46,11,Positive
godson ebube,4,it good but not fast.,2026-06-23 20:52:38,0,1.2026.167,21,5,Positive
Anand Das,5,very good answer given by chatgpt..,2026-06-23 20:50:29,0,1.2026.160,35,6,Positive
D V,1,we need water more than ai,2026-06-23 20:50:03,0,Unknown,26,6,Negative
Miguel De La Cruz,1,"chat JewPT, super biased",2026-06-23 20:49:53,0,1.2026.167,24,4,Negative
Prasenjit Das,5,This app is helping me very much.,2026-06-23 20:48:45,0,1.2026.167,33,7,Positive
K.K Overseas,5,beat ai good service,2026-06-23 20:45:37,0,1.2026.160,20,4,Positive
Amos Beatrice,5,"it's so easy to use, and helps you when you get stuck",2026-06-23 20:43:37,0,1.2026.160,53,12,Positive
Toofan Singh,5,really Guy's osm ,2026-06-23 20:41:48,0,1.2026.160,17,3,Positive
Belinda Retmun,4,I love this app hard,2026-06-23 20:40:57,0,1.2026.167,20,5,Positive
Rofikul Hasan piada,4,Nice app and awesome po,2026-06-23 20:38:28,0,1.2026.167,23,5,Positive
Rajan Dhanole,5,This is like a feeling can't explain,2026-06-23 20:34:55,1,1.2026.146,36,7,Positive
Aνιנιт,5,ChatGPT is awesome ,2026-06-23 20:33:32,0,1.2026.167,19,3,Positive
Mark Ross,5,lots of fun,2026-06-23 20:33:17,0,1.2026.167,11,3,Positive
Marry Mustafa,3,what I say and what chat gpt do .,2026-06-23 20:31:07,0,1.2026.167,33,9,Neutral
Basit Hussain Bangash,5,One of the best app for students and for everyone where you can get solution of your any problem. so guys download Chat GPT and solve your any Sought of problem. ☺,2026-06-23 20:30:45,0,1.2026.160,163,32,Positive
jaime nunez,5,my actual brain,2026-06-23 20:30:42,0,1.2026.167,15,3,Positive
Emre Ulutas,1,gets most things wrong especially about shows and films and games,2026-06-23 20:24:46,0,1.2026.167,65,11,Negative
Owen Wilson,3,"Is it just me or has the model gotten noticeably dumber recently? I ask it a straightforward coding question and it gives me deprecated syntax, or it just cuts off the answer halfway through. When I point out the mistake, it apologizes and then repeats the exact same wrong answer. It used to be much more reliable last year. The app itself is fine, but the actual quality of the AI output is degrading",2026-06-23 20:22:36,1,1.2026.167,402,74,Neutral
Sanjay Kumar,4,super thanks chat GPT,2026-06-23 20:22:21,1,1.2026.125,21,4,Positive
Daniel Ejakpomehwe,5,I love the app ☺,2026-06-23 20:21:03,1,Unknown,16,5,Positive
Afolabi Ireayomi,5,it's actually good,2026-06-23 20:20:42,1,Unknown,18,3,Positive
pro Land,5,more than great ,2026-06-23 20:20:24,1,1.2026.125,16,3,Positive
Funmilayo Solomon,5,best of bestest,2026-06-23 20:18:43,0,1.2026.153,15,3,Positive
Bukhobakhe Quma,2,the time to use the app is to small,2026-06-23 20:17:52,0,1.2026.167,35,9,Negative
Kumaru Liyanage,4,"The legacy memory system is confusing. If improved memory automatically stays up to date, I don't see the purpose of keeping a legacy version. It would be better if memories were unified and always current.",2026-06-23 20:14:59,0,1.2026.167,206,35,Positive
Olivia,1,destroying the environment,2026-06-23 20:10:55,0,Unknown,26,3,Negative
David Uguana,5,I should have meet this appointment when I was just 5 years old..I can't put to word what I've achieved with the help of chatgpt,2026-06-23 20:07:16,0,1.2026.153,128,25,Positive
Stuart Napier,5,"I'm a bit of a technophobe. My son just introduced me to it , and now I can't stop using it .",2026-06-23 20:04:38,0,1.2026.160,93,22,Positive
Tiwaa Shantel,4,very good app for learners,2026-06-23 20:04:11,0,1.2026.160,26,5,Positive
Ashik Roy,1,"worst ai I have ever had too much delay in answer, photo generating, uploading something, no accurate answers , claude , copilot and gemini is much better than this",2026-06-23 20:03:05,0,1.2026.167,164,29,Negative
Nkateko Ndhlovu,5,it's so good and fast l love it,2026-06-23 20:01:04,0,1.2026.153,31,8,Positive
